	$t$(s)	$q$ = 3.450	$q$ = 3.476	$q$ = 3.503	$q$ = 3.530	$q$ = 3.557
23	0.03569256483967091	-2.5723277854766302e-11	-2.3659906824564938e-11	-2.1767660073621203e-11	-2.0031818044551667e-11	-1.8439008857161043e-11
24	0.05630097559883305	-1.0095807299927663e-10	-9.285980157727459e-11	-8.543311596324847e-11	-7.86203369550269e-11	-7.236891654039669e-11
25	0.08880840779078142	-3.9623756343571603e-10	-3.644536497545919e-10	-3.3530558461006115e-10	-3.085669619152846e-10	-2.8403160731377334e-10
26	0.14008519764437583	-1.5551423163645777e-09	-1.4303977493585264e-09	-1.3159981795510632e-09	-1.2110551801225915e-09	-1.1147594976196859e-09
27	0.22096852186894916	-6.103579829323695e-09	-5.613985787133159e-09	-5.164993470031167e-09	-4.753116109696168e-09	-4.375177429475233e-09
28	0.34855279842558506	-2.3955162295418173e-08	-2.203361715029685e-08	-2.0271424400875858e-08	-1.865489945448417e-08	-1.717157609824089e-08
29	0.5498025341471866	-9.40185611317794e-08	-8.64769337608601e-08	-7.956072835964775e-08	-7.321623578332684e-08	-6.739452925416068e-08
30	0.8672511823748986	-3.69001440304746e-07	-3.3940227251126286e-07	-3.1225774304966216e-07	-2.873570557623155e-07	-2.6450818434229857e-07
31	1.3679904449645754	-1.4482463303954635e-06	-1.33207639325694e-06	-1.2255403426362323e-06	-1.1278108531727017e-06	-1.0381342671052171e-06
32	2.1578498773442996	-5.684031510361887e-06	-5.2280919071208305e-06	-4.809962953858724e-06	-4.426397614572436e-06	-4.074437976696832e-06
33	3.4037636083601335	-2.2308439956524236e-05	-2.05189957287863e-05	-1.8877947190602694e-05	-1.737255088975699e-05	-1.5991198044962496e-05
34	5.369051305763408	-8.755415455257279e-05	-8.053122407971028e-05	-7.409067425204483e-05	-6.818249647676106e-05	-6.276113435956506e-05
35	8.46906990048226	-0.00034362708092977904	-0.0003160655130504763	-0.0002907892274613802	-0.0002675882475102242	-0.0002463126928945068
36	13.358997874030603	-0.0013483594948256255	-0.0012402384449606188	-0.0011410776992947433	-0.001050108798281852	-0.0009666315359749708
37	21.072305022325086	-0.005286427032560518	-0.004862971612940301	-0.00447453575939184	-0.004118128310357609	-0.0037913150842151157
38	33.23917281378623	-0.020665748395372892	-0.01901746666334768	-0.01750431314552495	-0.0161149468720406	-0.014838989600183473
39	52.43102774823251	-0.07973703396317532	-0.07350234703455767	-0.06775716806104223	-0.06246424870845448	-0.0575887753231149
40	82.70400368073409	-0.286273885307529	-0.266480032515909	-0.24778548829946428	-0.2301868700324008	-0.21366655613652516
41	130.45619204085614	-0.649030802278815	-0.6391587385108368	-0.6257569757964687	-0.6092050516084715	-0.5899633107812973
42	205.7798568918037	-0.3904368516614257	-0.4150630337245832	-0.44022677652401804	-0.46572968620282995	-0.4913292431873705
43	324.5944009246392	-0.11601450377764576	-0.12529400546812394	-0.1352511729844162	-0.14592585159650248	-0.15735835517065822
